City_ID,City,Lat,Lng,Current Weather,Weather Description,Feels Like,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,Cayenne,4.9333,-52.3333,Clouds,broken clouds,92.37,84.24,84.24,74,75,16.11,2023-02-08,GF
1,Khatanga,71.9667,102.5,Clouds,broken clouds,-57.3,-44.7,-44.7,100,69,4.52,2023-02-08,RU
2,Mataura,-46.1927,168.8643,Rain,light rain,46.44,49.48,49.48,93,87,7.29,2023-02-08,NZ
3,Moron,-34.6534,-58.6198,Rain,moderate rain,81.21,80.46,83.95,50,100,14.97,2023-02-08,AR
4,Dikson,73.5069,80.5464,Clouds,overcast clouds,-9.18,3.42,3.42,79,100,15.9,2023-02-08,RU
6,Busselton,-33.65,115.3333,Clear,clear sky,60.51,60.75,60.75,85,0,11.56,2023-02-08,AU
7,Nikolskoye,59.7035,30.7861,Clouds,overcast clouds,27.09,33.39,33.8,93,100,7.11,2023-02-08,RU
8,Kamina,-8.7386,24.9906,Clouds,broken clouds,64.76,64.26,64.26,93,76,1.97,2023-02-08,CD
9,Arraial Do Cabo,-22.9661,-42.0278,Clouds,broken clouds,86.7,82.26,82.36,69,75,8.05,2023-02-08,BR
10,Aklavik,68.2191,-135.0107,Clouds,broken clouds,-22,-22,-22,76,75,0,2023-02-08,CA
11,Albany,42.6001,-73.9662,Clouds,broken clouds,39.07,40.62,42.58,60,55,3,2023-02-08,US
12,Yerbogachen,61.2767,108.0108,Clouds,overcast clouds,-17.46,-6.41,-6.41,98,100,4.65,2023-02-08,RU
13,Tasiilaq,65.6145,-37.6368,Clear,clear sky,-9.24,3.36,3.36,56,0,9.08,2023-02-08,GL
15,Jalu,29.0331,21.5482,Clouds,overcast clouds,54.66,57.47,57.47,37,97,9.44,2023-02-08,LY
16,Geraldton,-28.7667,114.6,Clear,clear sky,74.32,73.81,73.81,73,0,14.97,2023-02-08,AU
17,Qaanaaq,77.484,-69.3632,Clouds,few clouds,-39.06,-26.46,-26.46,68,16,6.22,2023-02-08,GL
18,Port Alfred,-33.5906,26.891,Clouds,overcast clouds,72.95,72.18,72.18,82,98,1.01,2023-02-08,ZA
19,Golfito,8.639,-83.166,Clear,clear sky,91.98,87.67,87.67,54,8,4.16,2023-02-08,CR
20,Isoka,-10.1606,32.6335,Rain,light rain,62.89,62.51,62.51,94,54,1.41,2023-02-08,ZM
21,Punta Arenas,-53.15,-70.9167,Clouds,overcast clouds,70.59,71.71,71.71,43,100,13.8,2023-02-08,CL
22,Alofi,-19.0595,-169.9187,Clouds,overcast clouds,78.69,76.89,76.89,94,91,3.44,2023-02-08,NU
23,Jieshi,22.8134,115.8257,Clouds,overcast clouds,62.38,62.37,62.37,87,100,21.18,2023-02-08,CN
24,Alyangula,-13.8483,136.4192,Clouds,overcast clouds,90.55,83.46,83.46,74,89,7.27,2023-02-08,AU
25,Iwanai,42.9744,140.5089,Snow,light snow,10.31,22.91,22.91,74,100,18.12,2023-02-08,JP
26,Pevek,69.7008,170.3133,Clouds,overcast clouds,-39.28,-26.68,-26.68,100,100,6.02,2023-02-08,RU
27,Sokol,59.4617,40.1206,Clouds,overcast clouds,17.58,22.53,22.53,98,99,3.67,2023-02-08,RU
28,Norman Wells,65.282,-126.8329,Clouds,scattered clouds,-39.1,-27.36,-27.36,75,40,3.44,2023-02-08,CA
29,Rikitea,-23.1203,-134.9692,Rain,light rain,79.09,79.09,79.09,75,4,13.67,2023-02-08,PF
30,Vila Do Maio,15.1333,-23.2167,Clouds,overcast clouds,72.66,72.39,72.39,71,100,13.82,2023-02-08,CV
31,Pangnirtung,66.1451,-65.7125,Clouds,few clouds,-20.2,-20.2,-20.2,63,20,0,2023-02-08,CA
32,Castro,-24.7911,-50.0119,Clear,clear sky,80.83,80.15,80.15,49,7,6.69,2023-02-08,BR
33,Las Choapas,17.9333,-94.0833,Clouds,few clouds,78.93,77.77,77.77,78,13,4.34,2023-02-08,MX
34,Qaqortoq,60.7167,-46.0333,Snow,light snow,5.38,17.98,17.98,92,100,13.22,2023-02-08,GL
35,Ushuaia,-54.8,-68.3,Clouds,broken clouds,69.82,71.26,71.26,37,75,11.5,2023-02-08,AR
36,Xaxim,-26.9617,-52.5347,Clear,clear sky,83.26,86.38,86.38,22,2,5.61,2023-02-08,BR
37,Mount Isa,-20.7333,139.5,Clouds,overcast clouds,76.86,74.97,74.97,100,100,0,2023-02-08,AU
38,Cabo San Lucas,22.8909,-109.9124,Clear,clear sky,69.93,71.69,72.61,29,0,6.91,2023-02-08,MX
39,Pingliang,35.5392,106.6861,Clouds,overcast clouds,19.99,26.22,26.22,86,98,5.3,2023-02-08,CN
40,Kumylzhenskaya,49.8809,42.5898,Clear,clear sky,-5.48,5.99,5.99,94,7,6.64,2023-02-08,RU
41,Koumac,-20.5667,164.2833,Rain,light rain,79.52,77.85,77.85,89,100,2.01,2023-02-08,NC
42,Viedma,-40.8135,-62.9967,Clear,clear sky,82.6,85.78,85.78,19,1,11.63,2023-02-08,AR
43,Kapaa,22.0752,-159.319,Clear,clear sky,70.97,70.25,73.72,85,0,23.02,2023-02-08,US
44,Oyama,36.3,139.8,Clouds,few clouds,44.58,44.58,44.58,69,18,2.3,2023-02-08,JP
